"Area","Condition","AddOn"
"Panel","Stain both sides, same color","394"
"Panel","Stain both sides, 2 colors","676"
"Panel","Stain one side + Paint other side","619"
"Frame","Stain both sides, same color","203"
"Frame","Stain both sides, 2 colors","383"
